Transcripts	CT1	CT2	CT3	LT20_1	LT20_2	LT20_3	LT15_1	LT15_2	LT15_3	LT12_1	LT12_2	LT12_3	LT12_6_1	LT12_6_2	LT12_6_3
transcript_1193	12.52	16.76	14.55	14.85	12.31	13.74	12.79	10.06	10.88	17.87	14.45	9.17	13.11	11.44	11.13
transcript_1194	7.91	10.15	10.08	10.61	11.21	6.84	9.05	8.72	8.1	10.75	12.76	8.45	22.43	20.92	13.72
transcript_1195	0.55	0.76	0.6	0.49	1	1.11	1.25	1.24	1.18	0.37	0.43	1.34	1.3	0.37	0.39
transcript_1196	6.51	9.94	11.16	5.77	8.01	4	3.5	3.09	4.18	5.02	2.41	1.88	1.51	1.24	2.98
transcript_1197	10.91	7.3	7.28	12.26	5.91	8.86	8.42	10.28	5.07	6.73	7.8	6.84	1.93	3.58	3.34
transcript_1198	58.63	65.61	74.36	0	104.32	91.3	0	75.9	0	135.28	0	77.96	0.23	55.34	56.97
transcript_1199	26.94	21.6	36.9	31.16	47.52	36.53	35.34	40.93	39.67	29.52	45.06	26.99	58.17	61.5	60.27
transcript_12	90.56	84.17	61.29	60.86	74.2	147.7	101.59	72.79	77.62	95.74	86.57	72.15	174.47	64.43	78.69
transcript_120	16.17	20.5	28.23	20.72	28.73	19.2	26.78	36.83	25.55	21.72	28.61	28.41	37.93	44.15	42.98
transcript_1201	52.86	53.85	38.65	15.33	32.79	29.87	32.33	17.78	30.1	29.94	31.99	14.65	40.3	20.87	33.02
transcript_1202	0	0.11	134.18	1093.35	17.51	241.89	8.94	448.84	585.33	0.07	200.54	0.07	0	0	193.7
transcript_1203	11.88	15.22	14.66	9.64	8.1	5.89	7.26	4.65	6.34	4.8	6.51	4.43	6.26	3.2	8.8
transcript_1206	0.73	0.68	244.82	0.41	15.34	2.55	23.12	21.4	16.46	28.78	7.07	15.17	29.6	0.41	9.84
transcript_1207	59.27	86.94	66.71	64.35	55.4	80.53	51.84	102.31	57.75	58.72	47.31	38.9	38.7	45.57	53.85
transcript_1208	1.82	9.98	0	1.42	1.03	0	28.71	0	0	9.67	0	31.11	0	0	17.66
transcript_1209	19.6	23.54	29.71	52.08	60.1	36.77	36.17	48.73	32.68	25.85	32.24	35.61	8.62	16.14	16.19
transcript_121	17.08	23.76	16.51	27.06	25.82	35.45	41.86	24.64	36.83	41.82	43.9	31.5	46.93	26.17	38.76
